japanese,reading,english,type,category,importance,example_jp,example_en,romaji
上,うえ,"on, above, top",word,Places & Directions,100,めがねは つくえの 上に あります。,The glasses are on the desk.,megane wa tsukueno ue ni ari masu
後ろ,うしろ,"back, behind",word,Places & Directions,100,モニターの 後ろに スイッチが あります。,There is a switch on the back of the monitor.,monitaano ushiro ni suicchi ga ari masu
うすい,うすい,thin [i-adj.],word,Adjectives,1,このほんは うすいです。,This book is thin.,konohon wa usui desu
うた,うた,song,word,Leisure & Sports,1,これは いい うたですね。,This is a good song.,kore wa ii uta desu ne
うたいます,うたいます,sing,word,Verbs,1,カラオケで にほんごの うたを うたいました。,I sang a Japanese song at karaoke.,karaoke de nihongono uta o utaimashita
うち,うち,home,word,Places & Directions,100,うちは どこですか。,Where is your home?,uchi wa doko desu ka
生まれます,うまれます,be born,word,Verbs,1,せんげつ あかちゃんが 生まれました。,"Last month, a baby was born.",sengetsu akachan ga maremashita
うみ,うみ,sea,word,Places & Directions,1,やまより うみが すきです。,I like the sea better than the mountains.,yamayori umi ga suki desu
うります,うります,sell,word,Verbs,1,Amazonで うっています。,It is sold on Amazon.,Amazon de uttei masu
うるさい,うるさい,loud [i-adj.],word,Adjectives,100,ちかてつの なかは うるさいです。,It's noisy in the subway.,chikatetsuno naka wa urusai desu
うれしい,うれしい,"happy, pleased [i-adj.]",word,Adjectives,1,とても うれしいです。,I am very happy.,tote mo ureshii desu
うわぎ,うわぎ,"coat, jacket, outerwear",word,Clothing,1,みせに うわぎを わすれました。,I forgot my jacket at the store.,mise ni uwagi o wasuremashita
え,え,"drawing, picture, painting",word,Leisure & Sports,1,かのじょは えが じょうずです。,She is good at painting.,kanojo wa e ga jouzu desu
エアコン,エアコン,air conditioner,word,Things & Objects,1,わたしの うちには エアコンが ５だい あります。,There are 5 air conditioners in my house.,watashino uchini wa eakon ga ５dai ari masu
えいが,えいが,movie,word,Leisure & Sports,1,きのう ともだちと えいがを みました。,I watched a movie with my friends yesterday.,kinou tomodachi to eiga o mimashita
